ENTIDAD, Vigente_corte , Vigentes_mes , Canceladas , Bloqueadas   , fecha ,
Banco de Bogot‡," 1,183,146 "," 37,960 "," 27,691 "," 200,883 ",20220101,
Banco Popular," 257,470 "," 6,125 "," 2,052 "," 3,932 ",20220101,
Itaœ," 273,995 "," 6,159 "," 1,989 "," 20,324 ",20220101,
Bancolombia," 2,321,209 "," 88,711 "," 59,682 "," 168,169 ",20220101,
Citibank," 11,498 ", 316 , 72 ," 22,441 ",20220101,
Banco GNB Sudameris," 16,099 ", 16 , 163 , 722 ,20220101,
BBVA Colombia," 723,190 "," 23,780 "," 6,133 "," 205,133 ",20220101,
Banco de Occidente," 553,560 "," 6,210 "," 7,461 "," 47,397 ",20220101,
Banco Caja Social S.A.," 265,287 "," 4,641 "," 5,741 "," 46,971 ",20220101,
Banco Davivienda," 1,287,351 "," 34,433 "," 24,644 "," 192,814 ",20220101,
Scotiabank Colpatria S.A.," 2,257,917 "," 50,804 "," 26,734 "," 162,535 ",20220101,
Banagrario," 315,532 "," 2,911 ", 786 ," 16,045 ",20220101,
AV Villas," 488,851 "," 6,882 "," 6,345 "," 81,215 ",20220101,
Bancoomeva," 66,010 "," 2,790 "," 1,088 "," 7,097 ",20220101,
Finandina," 104,000 "," 5,570 "," 2,378 "," 1,384 ",20220101,
Banco Falabella S.A.," 2,181,824 "," 52,315 "," 18,874 "," 646,482 ",20220101,
Banco Pichincha S.A.," 14,155 ", 491 , 942 ," 7,215 ",20220101,
Coopcentral," 11,609 ", 380 , 225 , 607 ,20220101,
Banco Serfinanza S.A.," 733,672 "," 10,096 "," 6,610 "," 12,959 ",20220101,
Giros y Finanzas C.F.," 6,046 ", 19 , 61 ," 3,817 ",20220101,
Tuya," 2,579,221 "," 71,617 "," 27,349 "," 262,344 ",20220101,
Coltefinanciera," 1,592 ", 24 , 64 , 101 ,20220101,
Financiera Juriscoop C.F.," 11,302 ", 60 , 225 , 198 ,20220101,
Confiar," 35,531 ", 121 ," 1,882 "," 5,435 ",20220101,
Banco de Bogot‡," 1,203,383 "," 41,813 "," 24,282 "," 214,604 ",20220202,
Banco Popular," 258,717 "," 8,656 "," 2,061 "," 4,051 ",20220202,
Itaœ," 277,039 "," 5,828 "," 2,784 "," 21,249 ",20220202,
Bancolombia," 2,345,285 "," 85,358 "," 62,203 "," 173,202 ",20220202,
Citibank," 11,795 ", 669 , 178 ," 22,636 ",20220202,
Banco GNB Sudameris," 15,967 ", 27 , 120 , 736 ,20220202,
BBVA Colombia," 731,688 "," 23,050 "," 6,404 "," 208,558 ",20220202,
Banco de Occidente," 554,160 "," 8,048 "," 6,849 "," 49,307 ",20220202,
Banco Caja Social S.A.," 266,591 "," 5,990 "," 4,988 "," 48,651 ",20220202,
Banco Davivienda," 1,277,711 "," 32,510 "," 27,017 "," 212,099 ",20220202,
Scotiabank Colpatria S.A.," 2,269,665 "," 51,602 "," 30,788 "," 169,732 ",20220202,
Banagrario," 321,946 "," 3,154 ", 584 ," 12,268 ",20220202,
AV Villas," 491,608 "," 8,669 "," 6,134 "," 84,194 ",20220202,
Bancoomeva," 65,712 "," 2,938 "," 1,050 "," 7,229 ",20220202,
Finandina," 96,767 "," 6,409 "," 2,016 "," 1,269 ",20220202,
Banco Falabella S.A.," 2,198,038 "," 45,152 "," 19,657 "," 689,058 ",20220202,
Banco Pichincha S.A.," 14,537 ", 635 , 391 ," 5,951 ",20220202,
Coopcentral," 11,801 ", 380 , 181 , 729 ,20220202,
Banco Serfinanza S.A.," 737,571 "," 14,110 "," 6,235 "," 16,172 ",20220202,
Giros y Finanzas C.F.," 6,278 ", 272 , 76 ," 3,705 ",20220202,
Tuya," 2,557,304 "," 79,297 "," 90,369 "," 266,280 ",20220202,
Coltefinanciera," 1,576 ", 12 , 57 , 103 ,20220202,
Financiera Juriscoop C.F.," 11,224 ", 46 , 162 , 210 ,20220202,
Confiar," 35,494 ", 102 ," 1,958 "," 5,653 ",20220202,
Banco de Bogot‡," 1,222,352 "," 46,983 "," 29,417 "," 217,494 ",20220303,
Banco Popular," 261,125 "," 5,762 "," 2,157 "," 3,979 ",20220303,
Itaœ," 275,313 "," 5,081 "," 6,807 "," 24,498 ",20220303,
Bancolombia," 2,378,007 "," 87,247 "," 65,381 "," 167,660 ",20220303,
Citibank," 12,081 "," 1,162 ", 54 ," 23,461 ",20220303,
Banco GNB Sudameris," 15,964 ", 14 , 119 , 673 ,20220303,
BBVA Colombia," 751,806 "," 29,453 "," 18,315 "," 202,942 ",20220303,
Banco de Occidente," 554,686 "," 8,648 "," 7,807 "," 41,144 ",20220303,
Banco Caja Social S.A.," 267,658 "," 6,343 "," 6,078 "," 46,474 ",20220303,
Banco Davivienda," 1,305,194 "," 40,613 "," 28,710 "," 201,823 ",20220303,
Scotiabank Colpatria S.A.," 2,280,814 "," 52,499 "," 36,003 "," 165,773 ",20220303,
Banagrario," 329,332 "," 3,999 ", 745 ," 9,091 ",20220303,
AV Villas," 493,960 "," 8,685 "," 6,377 "," 82,195 ",20220303,
